Date,Open,High,Low,Close,Adj Close,Volume
2012-04-13,63.939999,64.000000,63.520000,63.540001,46.062992,11226600
2012-04-16,63.720001,64.160004,63.669998,63.980000,46.381992,10502400
2012-04-17,64.230003,64.279999,63.270000,64.220001,46.555958,18322900
2012-04-18,63.900002,63.919998,63.119999,63.259998,45.860023,20567700
2012-04-19,63.220001,63.540001,62.759998,63.029999,45.693287,15189000
2012-04-20,63.220001,63.970001,63.200001,63.709999,46.186230,14320700
2012-04-23,63.500000,63.689999,63.299999,63.369999,45.939766,10120900
2012-04-24,63.549999,63.790001,63.360001,63.770000,46.229733,9022400
2012-04-25,63.959999,64.580002,63.840000,64.430000,46.708210,11162800
2012-04-26,64.410004,64.970001,64.260002,64.750000,46.940182,9139200
2012-04-27,64.949997,65.129997,64.680000,64.839996,47.005421,10746700
2012-04-30,64.849998,65.389999,64.839996,65.099998,47.193905,11362300
2012-05-01,64.910004,65.360001,64.800003,65.220001,47.280907,10107900
2012-05-02,65.169998,65.330002,64.839996,65.330002,47.360664,8349700
2012-05-03,65.400002,65.489998,65.099998,65.339996,47.367886,10431800
2012-05-04,65.190002,65.290001,64.739998,64.739998,46.932930,10301300
2012-05-07,64.580002,65.019997,64.510002,64.800003,46.976437,8387800
2012-05-08,64.680000,64.980003,64.550003,64.980003,47.106941,12491900
2012-05-09,64.589996,64.879997,64.250000,64.279999,46.599472,10649400
2012-05-10,64.809998,64.860001,64.389999,64.570000,46.809711,7702000
2012-05-11,64.430000,64.989998,64.230003,64.339996,46.642952,37824600
2012-05-14,64.029999,64.099998,63.560001,63.930000,46.345730,39687800
2012-05-15,63.700001,64.139999,63.410000,63.610001,46.113728,8500000
2012-05-16,63.790001,63.930000,63.450001,63.709999,46.186230,10018400
2012-05-17,63.709999,64.000000,63.480000,63.549999,46.070259,7993500
2012-05-18,63.869999,63.910000,63.090000,63.349998,45.925266,13781300
2012-05-21,63.259998,63.830002,63.250000,63.470001,46.012253,8784900
2012-05-22,63.400002,63.799999,63.330002,63.520000,46.048512,8409300
2012-05-23,63.400002,63.750000,62.880001,63.270000,45.867264,11269100
2012-05-24,62.889999,63.340000,62.799999,63.099998,46.189342,9309400
2012-05-25,62.880001,62.980000,62.290001,62.509998,45.757473,11208500
2012-05-29,62.840000,62.930000,62.299999,62.590000,45.816029,10089700
2012-05-30,62.340000,62.400002,62.000000,62.209999,45.537872,9414700
2012-05-31,62.360001,62.880001,62.139999,62.430000,45.698914,13297100
2012-06-01,62.040001,62.310001,61.709999,61.779999,45.223103,12061100
2012-06-04,62.040001,62.450001,61.889999,62.340000,45.633022,9200000
2012-06-05,62.160000,62.380001,62.000000,62.209999,45.537872,9523400
2012-06-06,62.090000,62.799999,61.889999,62.799999,45.969749,11562500
2012-06-07,63.180000,63.200001,62.509998,62.799999,45.969749,12959300
2012-06-08,62.540001,63.040001,62.330002,62.980000,46.101509,11249500
2012-06-11,62.970001,63.029999,62.110001,62.119999,45.471985,12226400
2012-06-12,62.160000,63.270000,61.830002,63.080002,46.174709,26655400
2012-06-13,64.239998,64.699997,63.180000,64.449997,47.177551,98440200
2012-06-14,64.349998,65.750000,64.290001,65.449997,47.909561,34314900
2012-06-15,65.900002,66.099998,65.510002,66.010002,48.319481,25992800
2012-06-18,65.820000,66.389999,65.820000,66.300003,48.531754,25750000
2012-06-19,66.400002,66.959999,66.360001,66.720001,48.839203,23615400
2012-06-20,66.779999,67.000000,66.459999,67.000000,49.044163,21254600
2012-06-21,66.550003,66.970001,66.160004,66.389999,48.597641,24545300
2012-06-22,66.660004,66.970001,66.519997,66.629997,48.773312,18965700
2012-06-25,66.260002,66.629997,66.139999,66.500000,48.678158,13734500
2012-06-26,66.559998,66.690002,66.410004,66.419998,48.619602,11100000
2012-06-27,66.419998,67.199997,66.360001,66.839996,48.927036,17594200
2012-06-28,66.709999,67.000000,66.440002,66.940002,49.000229,12110900
2012-06-29,67.300003,67.699997,67.209999,67.559998,49.454071,18286000
2012-07-02,67.419998,68.000000,67.339996,68.000000,49.776161,12552700
2012-07-03,67.959999,68.120003,67.720001,68.040001,49.805443,8902400
2012-07-05,67.919998,68.150002,67.779999,67.779999,49.615112,11857800
2012-07-06,67.510002,67.879997,67.360001,67.639999,49.512642,9758000
2012-07-09,67.739998,67.959999,67.629997,67.779999,49.615112,12485900
2012-07-10,67.970001,68.099998,67.739998,67.879997,49.688332,12851800
2012-07-11,68.029999,68.110001,67.720001,67.900002,49.702969,12026100
2012-07-12,67.620003,68.120003,67.440002,67.709999,49.563877,16484200
